latitude,longitude
39.2314,-112.3853
39.2315,-112.3855
39.2315,-112.3856
39.2316,-112.3858
39.2316,-112.3859
39.2316,-112.386
39.2315,-112.3861
39.2315,-112.3863
39.2313,-112.3863
39.2313,-112.3863
39.2314,-112.3864
39.2315,-112.3865
39.2316,-112.3867
39.2316,-112.3868
39.2316,-112.3868
39.2315,-112.3869
39.2315,-112.387
39.2314,-112.3871
39.2314,-112.3872
39.2314,-112.3873
39.2315,-112.3873
39.2315,-112.3874
39.2315,-112.3874
39.2316,-112.3876
39.2316,-112.3877
39.2316,-112.3879
39.2317,-112.388
39.2318,-112.3881
39.2318,-112.3882
39.2318,-112.3882
39.2318,-112.3883
39.2318,-112.3884
39.2317,-112.3885
39.2317,-112.3887
39.2318,-112.389
39.2319,-112.3891
39.2319,-112.3892
39.2318,-112.3894
39.2318,-112.3895
39.2317,-112.3896
39.2316,-112.3897
39.2316,-112.3898
39.2316,-112.3899
39.2317,-112.3899
39.2317,-112.39
39.2317,-112.3902
39.2317,-112.3903
39.2316,-112.3906
39.2316,-112.3907
39.2316,-112.3908
39.2316,-112.391
39.2316,-112.391
39.2316,-112.3912
39.2317,-112.3913
39.2317,-112.3916
39.2317,-112.3918
39.2317,-112.3921
39.2317,-112.3923
39.2317,-112.3926
39.2317,-112.3927
39.2315,-112.393
39.2314,-112.3932
39.2311,-112.3937
39.231,-112.3938
39.2311,-112.394
39.2314,-112.3942
39.2314,-112.3944
39.2315,-112.3946
39.2316,-112.3948
39.2315,-112.395
39.2316,-112.3952
39.2317,-112.3954
39.2317,-112.3955
39.2318,-112.3956
39.2319,-112.3957
39.2319,-112.3959
39.2319,-112.3961
39.232,-112.3963
39.2321,-112.3965
39.2322,-112.3967
39.2323,-112.3969
39.2323,-112.397
39.2324,-112.3971
39.2323,-112.3973
39.2323,-112.3976
39.2323,-112.3978
39.2324,-112.398
39.2324,-112.3981
39.2325,-112.3982
39.2325,-112.3983
39.2325,-112.3984
39.2325,-112.3986
39.2326,-112.3988
39.2327,-112.399
39.2327,-112.3991
39.2327,-112.3992
39.2326,-112.3995
39.2326,-112.3997
39.2327,-112.3998
39.2328,-112.3998
39.2329,-112.3999
39.2328,-112.4002
39.2328,-112.4005
39.233,-112.4007
39.233,-112.4008
39.233,-112.4009
39.2329,-112.4011
39.233,-112.4015
39.233,-112.4017
39.233,-112.4017
39.233,-112.4018
39.2328,-112.4021
39.2327,-112.4021
39.2327,-112.4024
39.2327,-112.4026
