time_bucket_2_accel,x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
845,0.84,2.56,-5.28,509
846,1.74,2.37,-9.23,509
847,1.51,2.26,-8.77,509
848,1.25,2.48,-8.69,509
849,1.7,2.52,-9.58,508
850,3.12,1.73,-8.19,508
851,2.15,2.56,-9.04,508
852,1.33,2.41,-9.27,508
853,-0.43,2.74,-8.57,507
854,-1.63,2.56,-8.61,503
855,0.13,1.95,-8.15,491
856,1.14,1.99,-9.42,490
857,0.09,2.86,-9.5,488
858,2.93,2.11,-9.66,487
859,-4.21,2.67,-8.11,487
860,1.29,0.45,-10.12,485
861,1.7,1.13,-9.69,481
862,-0.17,1.99,-9.19,478
863,-0.21,2.22,-10.62,478
864,1.59,2.22,-9.42,478
865,3.68,1.92,-9.73,471
866,0.8,2.59,-8.65,483
867,1.21,1.02,-6.56,481
868,0.73,3.23,-10.28,481
869,1.36,2.37,-10.35,480
870,0.69,2.67,-9.89,459
871,1.18,2.48,-7.61,477
872,2.15,2.52,-9.77,476
873,0.05,3.95,-11.94,474
874,28.56,-24.6,-13.1,499
875,2.18,2.74,-8.8,476
876,1.77,2.07,-9.04,475
877,2.15,1.8,-9,479
878,1.59,2.26,-9.15,479
879,3.72,2.48,-10.59,479
880,1.62,1.92,-8.26,479
881,1.44,2.26,-8.96,479
882,1.92,1.2,-9.35,479
884,-1.4,3.53,-10.2,479
885,0.09,2.89,-10.28,480
886,-0.06,5.15,-9.27,480
887,1.4,2.78,-12.44,480
888,3.45,2.11,-10.93,480
889,-48.97,-1.09,-21.73,503
890,27.03,6.58,-22.5,506
891,1.47,2.41,-9.31,479
892,1.55,2.93,-10.47,479
